Person_1,Person_2,Score,Label
E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Aaron_Peirsol\Aaron_Peirsol_0001.jpg,E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Aaron_Peirsol\Aaron_Peirsol_0002.jpg,0.7779843211174011,1
E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Aaron_Peirsol\Aaron_Peirsol_0001.jpg,E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Aaron_Peirsol\Aaron_Peirsol_0003.jpg,0.7171497344970703,1
E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Aaron_Peirsol\Aaron_Peirsol_0001.jpg,E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Aaron_Peirsol\Aaron_Peirsol_0004.jpg,0.5645533204078674,1
E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Aaron_Peirsol\Aaron_Peirsol_0002.jpg,E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Aaron_Peirsol\Aaron_Peirsol_0003.jpg,0.748813807964325,1
E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Aaron_Peirsol\Aaron_Peirsol_0002.jpg,E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Aaron_Peirsol\Aaron_Peirsol_0004.jpg,0.6323574185371399,1
E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Aaron_Peirsol\Aaron_Peirsol_0003.jpg,E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Aaron_Peirsol\Aaron_Peirsol_0004.jpg,0.6403861045837402,1
E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Aaron_Sorkin\Aaron_Sorkin_0001.jpg,E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Aaron_Sorkin\Aaron_Sorkin_0002.jpg,0.6878232955932617,1
E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0001.jpg,E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0002.jpg,0.8405846357345581,1
E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Abdoulaye_Wade\Abdoulaye_Wade_0001.jpg,E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Abdoulaye_Wade\Abdoulaye_Wade_0002.jpg,0.6864222288131714,1
E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Abdoulaye_Wade\Abdoulaye_Wade_0001.jpg,E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Abdoulaye_Wade\Abdoulaye_Wade_0003.jpg,0.47657036781311035,1
E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Abdoulaye_Wade\Abdoulaye_Wade_0001.jpg,E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Abdoulaye_Wade\Abdoulaye_Wade_0004.jpg,0.6971949338912964,1
E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Abdoulaye_Wade\Abdoulaye_Wade_0002.jpg,E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Abdoulaye_Wade\Abdoulaye_Wade_0003.jpg,0.570273756980896,1
E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Abdoulaye_Wade\Abdoulaye_Wade_0002.jpg,E:/kbtu_courses/diploma_project/src/diploma/photos/analysis_data\Abdoulaye_Wade\Abdoulaye_Wade_0004.jpg,0.7435457706451416,1
