path,label,scores
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\559980.jpg,0,0.0025310427881777287
E:/kbtu_courses/diploma_project/src/diploma/data\live\546501.jpg,1,0.9966656565666199
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\497303.jpg,0,0.0017532043857499957
E:/kbtu_courses/diploma_project/src/diploma/data\live\510218.jpg,1,0.9963345527648926
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\500838.jpg,0,0.007546330336481333
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\529495.jpg,0,0.0003193034208379686
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\528800.jpg,0,0.010250618681311607
E:/kbtu_courses/diploma_project/src/diploma/data\live\497089.jpg,1,0.9020983576774597
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\525391.jpg,0,0.0009287705761380494
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\544636.jpg,0,0.002084056381136179
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\499139.jpg,0,0.00030908064218237996
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\498404.jpg,0,0.002625794382765889
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\543188.jpg,0,0.0030834400095045567
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\557134.jpg,0,0.0014667900977656245
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\507642.jpg,0,0.0007453705766238272
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\496229.jpg,0,0.0027106469497084618
E:/kbtu_courses/diploma_project/src/diploma/data\live\507108.jpg,1,0.9786496758460999
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\524773.jpg,0,0.19367782771587372
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\533283.jpg,0,0.01387191005051136
E:/kbtu_courses/diploma_project/src/diploma/data\live\518421.jpg,1,0.9976174235343933
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\517320.jpg,0,0.05183425918221474
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\533521.jpg,0,0.0015141676412895322
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\553271.jpg,0,0.003428777912631631
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\509135.jpg,0,0.00046980069600977004
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\551214.jpg,0,0.0002783102390822023
E:/kbtu_courses/diploma_project/src/diploma/data\live\547539.jpg,1,0.9905349612236023
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\550140.jpg,0,0.0024319791700690985
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\496444.jpg,0,0.00037330700433813035
E:/kbtu_courses/diploma_project/src/diploma/data\live\532571.jpg,1,0.9954251646995544
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\544405.jpg,0,0.0016429306706413627
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\538215.jpg,0,0.0012932589743286371
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\538403.jpg,0,0.0006320863030850887
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\540990.jpg,0,0.0023651549126952887
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\506987.jpg,0,0.003095148829743266
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\502188.jpg,0,0.00203802646137774
E:/kbtu_courses/diploma_project/src/diploma/data\live\541190.jpg,1,0.9966805577278137
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\531238.jpg,0,0.006258990615606308
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\519066.jpg,0,0.019763855263590813
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\512875.jpg,0,0.020843740552663803
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\520807.jpg,0,0.002739950083196163
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\560994.jpg,0,0.00045257117017172277
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\533668.jpg,0,0.0011866037966683507
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\560267.jpg,0,0.00036367171560414135
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\496504.jpg,0,0.007776807993650436
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\552061.jpg,0,0.004692551679909229
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\517299.jpg,0,0.010312967002391815
E:/kbtu_courses/diploma_project/src/diploma/data\live\549259.jpg,1,0.9908230304718018
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\531108.jpg,0,0.0004175799840595573
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\526856.jpg,0,0.008886007592082024
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\524677.jpg,0,0.0019885783549398184
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\501696.jpg,0,0.010987444780766964
E:/kbtu_courses/diploma_project/src/diploma/data\live\510326.jpg,1,0.8981764912605286
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\533938.jpg,0,0.00211370293982327
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\508887.jpg,0,0.006283994764089584
E:/kbtu_courses/diploma_project/src/diploma/data\live\507098.jpg,1,0.6417064070701599
E:/kbtu_courses/diploma_project/src/diploma/data\live\539300.jpg,1,0.9897457361221313
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\550885.jpg,0,0.0008757663890719414
E:/kbtu_courses/diploma_project/src/diploma/data\spoof\552085.jpg,0,0.0005114452796988189
